epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3259,1.50642,4.66009,1.3763,0.01871,0.42785,0.0337,0.02756,0.95755,4.42953,0.99124,2.76e-05,2.76e-05,2.76e-05
2,124.765,1.3433,4.2378,1.27423,0.01716,0.41279,0.03507,0.0277,1.02406,4.08203,0.99228,5.76823e-05,5.76823e-05,5.76823e-05
3,181.121,1.35063,3.99072,1.23615,0.01865,0.44954,0.05475,0.0411,1.01262,3.78615,0.99634,8.67399e-05,8.67399e-05,8.67399e-05
4,237.8,1.37211,3.76862,1.26024,0.02445,0.51592,0.0681,0.05016,1.08956,3.49549,1.0378,0.000114773,0.000114773,0.000114773
5,293.354,1.35757,3.53161,1.2539,0.1036,0.30868,0.11411,0.08345,1.15036,3.25758,1.07252,0.000141781,0.000141781,0.000141781
6,348.772,1.27866,3.30215,1.22934,0.22625,0.25236,0.12796,0.0923,1.11784,3.46658,1.09107,0.000167765,0.000167765,0.000167765
7,404.337,1.32565,3.11971,1.24458,0.38695,0.2016,0.16054,0.11631,1.12992,3.66646,1.11435,0.000192724,0.000192724,0.000192724
8,460.2,1.32224,3.05434,1.26197,0.2944,0.35622,0.17472,0.12272,1.15075,3.63906,1.12276,0.000216658,0.000216658,0.000216658
9,515.592,1.29709,2.88966,1.26105,0.477,0.28244,0.19181,0.13373,1.17379,3.15974,1.14394,0.000239568,0.000239568,0.000239568
10,570.877,1.31664,2.80503,1.2679,0.50006,0.26411,0.20311,0.14599,1.1953,2.83772,1.16458,0.000261453,0.000261453,0.000261453
11,625.715,1.30628,2.75753,1.25931,0.59729,0.23979,0.21655,0.15635,1.18074,2.62381,1.16278,0.000282313,0.000282313,0.000282313
12,680.729,1.29712,2.68485,1.2658,0.50375,0.26744,0.2453,0.17146,1.17326,2.51372,1.1731,0.000282382,0.000282382,0.000282382
13,736.27,1.27908,2.59435,1.25203,0.57309,0.25998,0.27159,0.19297,1.18684,2.43827,1.17749,0.00027669,0.00027669,0.00027669
14,792.107,1.2968,2.5104,1.2882,0.56965,0.28225,0.28699,0.20318,1.20966,2.35455,1.19354,0.000270997,0.000270997,0.000270997
15,847.806,1.2668,2.46228,1.25468,0.52557,0.29424,0.29744,0.20562,1.18501,2.31512,1.17956,0.000265305,0.000265305,0.000265305
16,902.995,1.26265,2.40189,1.24273,0.51068,0.27014,0.29135,0.19112,1.26012,2.33294,1.19939,0.000259612,0.000259612,0.000259612
17,958.704,1.27315,2.39972,1.26049,0.50336,0.25363,0.28791,0.19168,1.2281,2.32495,1.18682,0.00025392,0.00025392,0.00025392
18,1014.48,1.23226,2.39965,1.24146,0.40987,0.35266,0.30726,0.20899,1.22182,2.27606,1.19084,0.000248228,0.000248228,0.000248228
19,1074.56,1.24587,2.26315,1.23987,0.4946,0.35895,0.31697,0.22203,1.20939,2.27135,1.18103,0.000242535,0.000242535,0.000242535
20,1135.65,1.25318,2.24447,1.22659,0.55285,0.34299,0.31851,0.22257,1.25807,2.31456,1.19747,0.000236843,0.000236843,0.000236843
21,1190.94,1.2211,2.12164,1.23243,0.5285,0.33646,0.32936,0.22986,1.22872,2.32711,1.19213,0.00023115,0.00023115,0.00023115
22,1245.8,1.17619,2.06633,1.21927,0.55985,0.29398,0.31773,0.22572,1.23533,2.36183,1.20247,0.000225457,0.000225457,0.000225457
