epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5642,1.16609,1.89851,1.23357,0.88788,0.7835,0.86771,0.71977,0.75022,0.98394,0.958,2.76e-05,2.76e-05,2.76e-05
2,122.57,1.05953,1.70083,1.17887,0.84533,0.79045,0.86357,0.71012,0.7611,0.99374,0.96752,5.71984e-05,5.71984e-05,5.71984e-05
3,193.006,1.12444,1.7279,1.17554,0.77926,0.80842,0.86345,0.69821,0.79018,0.98767,0.99139,8.52598e-05,8.52598e-05,8.52598e-05
4,252.787,1.12794,1.6143,1.18529,0.86901,0.77032,0.86325,0.7001,0.79432,0.98585,0.99686,0.000111784,0.000111784,0.000111784
5,309.639,1.15294,1.67756,1.19511,0.79626,0.74841,0.85263,0.66699,0.85251,1.02925,1.00725,0.000136772,0.000136772,0.000136772
6,365.487,1.04689,1.54206,1.13341,0.73169,0.80411,0.86531,0.68978,0.8413,1.01491,1.00198,0.000160222,0.000160222,0.000160222
7,422.891,1.07466,1.48072,1.14808,0.7718,0.83668,0.87088,0.70505,0.83547,0.99733,1.00846,0.000182136,0.000182136,0.000182136
8,479.195,1.0832,1.51082,1.14925,0.85649,0.75785,0.83043,0.66062,0.82048,1.01021,0.99954,0.000202512,0.000202512,0.000202512
9,535.682,1.06183,1.48136,1.15304,0.81718,0.76316,0.84896,0.67254,0.85551,1.05105,1.00912,0.000221352,0.000221352,0.000221352
10,605.164,1.057,1.41606,1.1412,0.78897,0.75061,0.86671,0.69591,0.86932,1.10347,1.0174,0.000238655,0.000238655,0.000238655
11,666.14,1.06492,1.47143,1.143,0.83128,0.67012,0.85421,0.68462,0.89595,1.15245,1.03874,0.00025442,0.00025442,0.00025442
12,729.912,1.03981,1.42032,1.13769,0.64639,0.75707,0.8468,0.67461,0.88158,1.12344,1.02986,0.000251074,0.000251074,0.000251074
13,795.789,1.03747,1.36298,1.13404,0.81743,0.67421,0.83747,0.66169,0.87563,1.07746,1.0329,0.000242535,0.000242535,0.000242535
14,863.683,1.03326,1.35048,1.14754,0.77686,0.70641,0.82471,0.63469,0.92281,1.07408,1.06965,0.000233996,0.000233996,0.000233996
15,928.131,1.04149,1.36861,1.13091,0.74482,0.71528,0.82225,0.63708,0.90084,1.07516,1.05804,0.000225457,0.000225457,0.000225457
16,989.555,1.00643,1.32555,1.11652,0.66794,0.75129,0.8353,0.65503,0.90735,1.08297,1.04902,0.000216919,0.000216919,0.000216919
17,1046.68,1.02136,1.32277,1.12095,0.72372,0.74142,0.83452,0.66341,0.88719,1.10114,1.02886,0.00020838,0.00020838,0.00020838
18,1102.16,1.01116,1.3709,1.12822,0.86141,0.66782,0.83335,0.66333,0.8641,1.11876,1.01174,0.000199841,0.000199841,0.000199841
19,1160,1.01433,1.25508,1.11718,0.8449,0.65446,0.81755,0.64944,0.86118,1.13277,1.00872,0.000191303,0.000191303,0.000191303
20,1215.89,1.03883,1.26039,1.12237,0.80735,0.68208,0.81915,0.6533,0.86595,1.1003,1.00894,0.000182764,0.000182764,0.000182764
21,1270.96,0.97017,1.18871,1.10075,0.7718,0.72553,0.82656,0.65484,0.8516,1.07361,1.00192,0.000174225,0.000174225,0.000174225
22,1326.81,0.96765,1.18497,1.09512,0.77951,0.70608,0.80377,0.64094,0.85836,1.05602,1.00234,0.000165686,0.000165686,0.000165686
23,1383.98,0.95795,1.18398,1.09646,0.81025,0.70379,0.79084,0.62825,0.86406,1.07754,1.00223,0.000157147,0.000157147,0.000157147
24,1442.25,0.95478,1.16985,1.09109,0.79746,0.70411,0.79881,0.62769,0.87051,1.09881,1.00419,0.000148609,0.000148609,0.000148609
25,1498.5,0.96072,1.20318,1.08209,0.82699,0.69543,0.80127,0.63195,0.86531,1.08858,1.00078,0.00014007,0.00014007,0.00014007
26,1554.08,0.99012,1.19626,1.10602,0.72152,0.74657,0.81151,0.64712,0.84299,1.08114,0.99388,0.000131531,0.000131531,0.000131531
